accountsapid,Single_Order,2019,2020,2021,Churn_Rule_year_wise,Churn_Rule_avg_cycle,Median_Days,3_years_cycle,Final_Churn,TotalOrderNumber,FirstOrderedDate,LastOrderedDate,NumQtrsPerOrder,NumYearsOfUser,OrderChannel_NonDigital,OrderChannel_EProcurement,OrderChannel_ECommerce,Recency,Frequency,Monetary,RFM_Score,CountryCode
144081.0,0.0,0.0,1.0,1.0,WillNot_Churn,WillNot_Churn,81.0,243.0,WillNot_Churn,2.0,2020-12-28,2021-03-19,1.0,2.0,1.0,0.0,1.0,182.0,2.0,1507.0,8,US
144395.0,0.0,0.0,1.0,1.0,WillNot_Churn,WillNot_Churn,65.0,195.0,WillNot_Churn,4.0,2020-01-20,2021-02-23,2.0,2.0,1.0,0.0,1.0,525.0,8.0,2605.7,6,US
144923.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,4.0,12.0,WillNot_Churn,176.0,2019-01-07,2021-06-18,1.0,1.0,1.0,0.0,1.0,903.0,821.0,285833.46000000014,6,US
144113.0,0.0,1.0,1.0,0.0,Will_Churn,Will_Churn,29.0,87.0,Will_Churn,3.0,2019-12-20,2020-02-17,1.0,2.0,1.0,0.0,1.0,556.0,19.0,6005.95,6,US
144497.0,1.0,1.0,0.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2019-07-08,2019-07-08,-1.0,3.0,1.0,0.0,0.0,721.0,2.0,575.64,11,US
144933.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,9.0,27.0,WillNot_Churn,76.0,2019-01-02,2021-06-04,1.0,1.0,1.0,1.0,1.0,908.0,176.0,143356.27,6,US
144769.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,22.0,66.0,WillNot_Churn,21.0,2019-02-21,2021-05-04,1.0,1.0,1.0,0.0,1.0,858.0,68.0,18972.4,6,US
145051.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,6.0,18.0,WillNot_Churn,139.0,2019-01-21,2021-06-18,1.0,1.0,1.0,1.0,1.0,889.0,3425.0,196133.25000000003,6,US
145037.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,88.0,264.0,WillNot_Churn,6.0,2019-06-14,2021-02-05,2.0,1.0,1.0,0.0,0.0,745.0,15.0,27086.0,6,US
144824.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,57.0,171.0,WillNot_Churn,8.0,2019-06-05,2021-06-09,2.0,1.0,1.0,0.0,0.0,754.0,29.0,10979.02,5,US
144372.0,0.0,1.0,0.0,0.0,Will_Churn,Will_Churn,130.0,390.0,Will_Churn,2.0,2019-06-21,2019-10-29,2.0,3.0,1.0,0.0,0.0,738.0,8.0,6955.77,7,US
144654.0,0.0,1.0,1.0,0.0,Will_Churn,Will_Churn,43.0,129.0,Will_Churn,4.0,2019-11-27,2020-12-18,2.0,2.0,1.0,0.0,0.0,579.0,15.0,2348.25,7,US
144336.0,0.0,1.0,0.0,0.0,Will_Churn,Will_Churn,106.0,318.0,Will_Churn,2.0,2019-05-13,2019-08-27,1.0,3.0,1.0,0.0,1.0,777.0,2.0,1514.7,10,US
144404.0,1.0,1.0,0.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2019-11-14,2019-11-14,-1.0,3.0,1.0,0.0,0.0,592.0,2.0,620.0,10,US
144893.0,0.0,1.0,1.0,0.0,Will_Churn,Will_Churn,44.0,132.0,Will_Churn,3.0,2019-12-19,2020-03-16,1.0,2.0,1.0,0.0,0.0,557.0,18.0,3612.55,6,US
144263.0,1.0,0.0,0.0,1.0,WillNot_Churn,-1,0.0,0.0,WillNot_Churn,1.0,2021-06-09,2021-06-09,-1.0,3.0,1.0,0.0,0.0,19.0,3.0,651.1,8,US
144383.0,0.0,1.0,0.0,0.0,Will_Churn,Will_Churn,28.0,84.0,Will_Churn,2.0,2019-01-23,2019-02-20,-1.0,3.0,0.0,1.0,0.0,887.0,8.0,5804.75,8,US
144727.0,1.0,0.0,1.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,3.0,2020-04-24,2020-04-24,-1.0,3.0,0.0,1.0,0.0,430.0,11.0,7881.0199999999995,6,US
145177.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,69.0,207.0,WillNot_Churn,13.0,2019-01-08,2021-03-02,1.0,1.0,1.0,0.0,1.0,902.0,76.0,11059.15,6,US
144540.0,1.0,1.0,0.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2019-12-06,2019-12-06,-1.0,3.0,1.0,0.0,0.0,570.0,10.0,2441.0,7,US
