accountsapid,2019,2020,2021,Churn_Rule_year_wise,Churn_Rule_avg_cycle,Final_Churn,Final_churn_ProbabilityScore
1014342.0,1,1,0,1,1,0,0.0002506445926080417
1002048.0,1,1,0,1,2,1,0.37419692734945803
256619.0,1,0,0,1,0,1,0.999971608769057
272001.0,0,0,1,0,0,0,0.0067351370055765795
146902.0,1,1,0,1,1,0,0.5275805649722793
1013668.0,1,0,0,1,0,1,0.9999977824992762
1003279.0,1,1,0,1,1,0,0.020050692623604646
867317.0,0,1,0,1,0,1,0.9915124165720937
152924.0,1,1,0,1,1,0,1.370544993764195e-06
1021139.0,0,0,1,0,0,0,0.36776282630167134
1023466.0,0,0,1,0,0,0,0.1334824527942248
1013946.0,1,1,0,1,1,0,0.13399542484385346
864913.0,1,0,0,1,0,1,0.9999995432205401
1019210.0,0,1,0,1,0,1,0.9934937399287237
1007342.0,1,0,0,1,2,1,0.9998882784937192
851493.0,1,0,0,1,0,1,0.999998927187682
1023967.0,0,0,1,0,0,0,0.046591108122316684
247568.0,1,1,0,1,2,1,0.9793758806277887
144404.0,1,0,0,1,0,1,0.9999986457906362
1015453.0,0,1,0,1,0,1,0.9909903334999259
779147.0,1,0,0,1,2,1,0.20054671063760787
1009043.0,1,1,1,0,1,0,0.14679585170706574
862731.0,1,0,0,1,0,1,0.9999983151584239
840051.0,1,1,1,0,1,0,0.0018166764306338586
190404.0,0,1,0,1,0,1,0.9991678071843847
270627.0,1,1,1,0,1,0,0.08502940210487578
1015004.0,1,0,0,1,0,1,0.9999984823182794
780391.0,1,1,0,1,1,0,1.4471923590644694e-05
1005650.0,1,0,0,1,2,1,0.9965701796585303
1004526.0,1,1,0,1,1,0,0.011260737389487439
220727.0,1,0,0,1,2,1,0.9999896906567625
855001.0,0,1,0,1,2,1,0.07183129820181396
151790.0,1,1,1,0,1,0,0.034948884889774774
746783.0,1,1,0,1,2,1,0.9126589666607772
202361.0,1,1,0,1,2,1,0.9270999737750554
739098.0,0,0,1,0,0,0,0.4131509756047076
815662.0,0,1,0,1,0,1,0.998532868496603
1018158.0,0,1,0,1,0,1,0.9931071563731477
168524.0,1,0,0,1,2,1,0.8460956882273317
1022114.0,0,0,1,0,1,0,0.014157093217501127
1002965.0,1,1,0,1,1,0,1.3608105779713972e-07
141649.0,1,0,0,1,2,1,0.9702273827162984
807801.0,1,0,0,1,0,1,0.9999969976558687
1002943.0,1,0,0,1,2,1,0.9804704369580801
1014832.0,1,0,1,1,1,0,5.399813251889999e-09
862769.0,1,0,0,1,2,1,0.9998409818575064
178847.0,1,0,0,1,2,1,0.9885221305803162
169214.0,1,1,0,1,1,0,0.011545180114478935
155869.0,1,1,1,0,2,1,0.476407413709578
1021485.0,0,0,1,0,0,0,0.04486392944340026
145861.0,1,1,1,0,1,0,0.07729711455891373
164350.0,1,1,1,0,1,0,0.021423717439766947
270173.0,1,1,1,0,2,1,0.5310368346767492
857554.0,1,1,1,0,1,0,0.04582293723197986
811530.0,1,0,1,1,1,0,0.6776967965741115
1018437.0,0,1,0,1,0,1,0.9991348070590169
154192.0,1,1,1,0,1,0,0.001292494268202308
1003808.0,0,0,1,0,0,0,0.47372762030056415
167890.0,0,1,1,0,1,0,1.3415964965370302e-08
161377.0,1,1,1,0,1,0,0.0007381801396429905
865758.0,1,1,1,0,1,0,0.002080976887265451
1011930.0,0,1,0,1,0,1,0.998028550665807
738349.0,1,1,1,0,2,1,0.4608793140400374
1022404.0,0,0,1,0,0,0,0.06818724215033367
196077.0,1,1,1,0,1,0,0.051160373999878404
850932.0,1,1,1,0,1,0,0.0032435178516667025
1018504.0,0,1,0,1,0,1,0.9990087150330036
721664.0,0,1,0,1,2,1,0.3173320023187722
221988.0,1,1,1,0,1,0,0.3475676038808664
155850.0,1,0,0,1,0,1,0.9999878156135925
287225.0,0,1,0,1,0,1,0.9995658276404443
1020728.0,0,1,0,1,0,1,0.9977210182783431
287569.0,0,0,1,0,0,0,0.07583154716332041
861072.0,1,0,0,1,2,1,0.9999881520350604
190379.0,1,0,0,1,2,1,0.999275002134219
156601.0,1,0,0,1,0,1,0.9999997265389984
1023366.0,0,0,1,0,0,0,0.022730932668247612
1022517.0,0,0,1,0,1,0,0.01599561484265905
1022155.0,0,0,1,0,0,0,0.44160351579027807
1007092.0,1,1,1,0,1,0,0.22515530427385727
1001100.0,1,0,0,1,0,1,0.9999929711573099
1014077.0,1,0,0,1,0,1,0.9999332990043757
144245.0,1,1,1,0,2,1,0.5793264359028438
1011776.0,1,1,0,1,2,1,0.8190846606291016
259430.0,1,1,0,1,2,1,0.6662260516207015
144091.0,0,1,0,1,0,1,0.9987631117516043
164135.0,1,0,0,1,0,1,0.9999958369563493
165878.0,1,0,0,1,0,1,0.9999991847474502
159568.0,1,1,0,1,1,0,0.044552184237583274
