accountsapid,2019,2020,2021,Churn_Rule_year_wise,Churn_Rule_avg_cycle,Final_Churn,Final_churn_ProbabilityScore
1005535.0,0,1,1,0,1,0,0.29105157566112305
759636.0,1,1,1,0,1,0,0.05298209843207686
171163.0,1,0,0,1,0,1,1.0
1017092.0,0,1,0,1,1,0,0.015274725274725273
1014455.0,1,1,0,1,1,0,0.000547945205479452
1009339.0,1,0,0,1,0,1,1.0
244815.0,1,1,1,0,1,0,0.3852623170006391
153719.0,1,1,1,0,1,0,0.142952584655006
205215.0,1,0,0,1,0,1,1.0
188298.0,1,1,0,1,1,0,0.0
150147.0,1,1,0,1,1,0,0.0
830667.0,1,0,0,1,0,1,1.0
1002050.0,1,1,1,0,1,0,0.0
164632.0,1,0,0,1,0,1,1.0
152022.0,1,1,1,0,1,0,0.3852623170006391
1021703.0,0,0,1,0,2,1,0.5695411556187565
778005.0,1,0,1,1,1,0,0.0
757270.0,1,0,0,1,0,1,1.0
750495.0,1,0,0,1,2,1,0.9970434782608696
862436.0,1,0,1,1,1,0,0.0
156125.0,1,1,1,0,1,0,0.3207061645784945
1006697.0,1,0,0,1,2,1,0.999375
227260.0,0,1,1,0,2,1,0.3632445938387155
1023736.0,0,0,1,0,0,0,0.0
1021698.0,0,0,1,0,0,0,0.0
146034.0,1,1,0,1,1,0,0.001176470588235294
856295.0,1,1,1,0,1,0,0.16630768578681976
1016088.0,0,1,0,1,0,1,1.0
154302.0,1,0,0,1,2,1,1.0
705158.0,1,1,0,1,1,0,0.001176470588235294
21600.0,1,1,1,0,1,0,0.08539262063707
831854.0,1,1,0,1,2,1,1.0
1023372.0,0,0,1,0,0,0,0.0
254782.0,1,1,0,1,2,1,0.99
851375.0,1,0,0,1,0,1,1.0
1002583.0,1,1,1,0,1,0,9.569377990430622e-05
1021487.0,0,0,1,0,0,0,0.0
866154.0,0,1,0,1,1,0,0.37883328545774925
278630.0,1,1,0,1,2,1,1.0
176379.0,1,1,0,1,2,1,1.0
1005971.0,1,1,1,0,1,0,0.0
243423.0,1,0,0,1,0,1,1.0
1020485.0,0,1,1,0,1,0,0.2496856734163066
167986.0,1,1,1,0,1,0,9.569377990430622e-05
858883.0,1,1,1,0,1,0,0.0
280513.0,1,1,0,1,1,0,0.0
725697.0,1,1,1,0,1,0,0.0
1004784.0,1,1,0,1,2,1,0.9967610164151357
869869.0,0,0,1,0,0,0,0.0
748827.0,0,1,0,1,1,0,0.0
221933.0,1,1,1,0,1,0,0.0
787343.0,0,1,0,1,0,1,1.0
871547.0,0,1,1,0,1,0,0.019377295341474445
1014244.0,0,1,0,1,0,1,1.0
1023466.0,0,0,1,0,0,0,0.0
1003876.0,1,1,0,1,2,1,1.0
787307.0,1,1,0,1,2,1,0.9967610164151357
248202.0,1,0,0,1,2,1,1.0
847779.0,1,1,1,0,1,0,0.3063224381130819
148308.0,1,1,0,1,2,1,0.9910769230769231
852824.0,1,0,0,1,2,1,1.0
1022188.0,0,0,1,0,0,0,0.0
170939.0,0,1,0,1,0,1,1.0
1010776.0,0,1,0,1,0,1,1.0
1009362.0,1,1,1,0,1,0,0.07554531916542946
1010636.0,1,0,0,1,0,1,1.0
734993.0,0,1,1,0,1,0,0.0
168694.0,1,1,1,0,1,0,0.3360513218263841
819097.0,1,1,1,0,1,0,0.0
826317.0,0,1,1,0,1,0,0.0
1013343.0,1,0,0,1,0,1,1.0
286365.0,1,1,1,0,1,0,0.0
191412.0,1,1,1,0,1,0,0.0
263159.0,0,1,1,0,1,0,0.0
211128.0,1,1,0,1,1,0,0.0
250738.0,0,1,1,0,1,0,0.0
192428.0,0,1,0,1,0,1,1.0
148815.0,0,1,1,0,1,0,0.0
156015.0,1,0,0,1,2,1,0.9142429193899784
146971.0,1,0,1,1,1,0,0.0
175623.0,1,1,1,0,2,1,0.37465549607351384
1022637.0,0,0,1,0,0,0,0.0
244329.0,1,1,1,0,2,1,0.9994285714285716
1001627.0,1,0,1,1,1,0,0.0
1016017.0,0,1,1,0,1,0,0.0
163424.0,1,0,0,1,2,1,1.0
1019465.0,0,1,0,1,0,1,1.0
711874.0,1,1,1,0,1,0,0.13812914304945342
148297.0,0,0,1,0,0,0,0.0
1023069.0,0,0,1,0,2,1,0.8640993022571972
1002881.0,0,1,1,0,1,0,0.0025
148501.0,1,1,1,0,1,0,0.3855294657708702
245022.0,1,1,1,0,1,0,9.569377990430622e-05
1019807.0,0,1,0,1,2,1,0.9994444444444445
1013922.0,1,1,0,1,2,1,0.9994075920617114
288723.0,1,0,0,1,2,1,0.978879068868927
1003088.0,1,1,1,0,2,1,0.3419465926190472
242313.0,1,1,0,1,2,1,0.9996298142839336
713569.0,0,1,0,1,1,0,0.01625
144584.0,1,0,0,1,0,1,1.0
257699.0,1,1,1,0,1,0,0.0
775349.0,1,0,0,1,0,1,1.0
1005636.0,0,0,1,0,0,0,0.0
1012976.0,1,1,0,1,1,0,0.6634489535798963
1012142.0,0,1,0,1,0,1,1.0
1012040.0,1,0,0,1,0,1,1.0
187680.0,0,1,0,1,0,1,1.0
738624.0,1,1,1,0,1,0,9.569377990430622e-05
1006515.0,0,1,0,1,0,1,1.0
205260.0,1,1,0,1,1,0,0.000547945205479452
205298.0,0,0,1,0,0,0,0.0
164380.0,1,0,0,1,0,1,1.0
1013422.0,1,1,0,1,1,0,0.017377155659917865
164772.0,0,1,0,1,0,1,1.0
1002489.0,1,1,0,1,2,1,1.0
1019675.0,0,1,0,1,0,1,1.0
245991.0,0,1,0,1,0,1,1.0
847291.0,0,1,0,1,0,1,1.0
721842.0,0,1,0,1,0,1,1.0
